--------------------------------------------------------------------------------------------------------
                                    | gpt-3.5-turbo         |                 | Full Score | Allocation 
------------------------------------|---------------|-------|--------|--------|------------|------------
 Overall Score                      | 62.71           ±1.19 | 46.45%   ±0.88% | 135.00     |            
 Lang: python                       | 10.47           ±1.15 | 43.61%   ±4.81% | 24.00      | 17.78%     
 Lang: javascript                   | 12.73           ±0.60 | 57.88%   ±2.73% | 22.00      | 16.30%     
 Lang: bash                         | 3.96            ±0.56 | 39.64%   ±5.58% | 10.00      | 7.41%      
 Lang: java                         | 4.33            ±0.29 | 48.15%   ±3.21% | 9.00       | 6.67%      
 Lang: dart                         | 1.90            ±0.00 | 21.11%   ±0.00% | 9.00       | 6.67%      
 Lang: c#                           | 2.06            ±0.29 | 34.35%   ±4.81% | 6.00       | 4.44%      
 Lang: css                          | 1.33            ±0.35 | 26.67%   ±7.06% | 5.00       | 3.70%      
 Lang: html                         | 3.40            ±0.00 | 68.00%   ±0.00% | 5.00       | 3.70%      
 Lang: r                            | 2.50            ±0.00 | 50.00%   ±0.00% | 5.00       | 3.70%      
 Lang: rust                         | 3.17            ±0.00 | 63.33%   ±0.00% | 5.00       | 3.70%      
 Lang: c++/c                        | 3.17            ±0.29 | 63.33%   ±5.77% | 5.00       | 3.70%      
 Lang: php                          | 2.89            ±0.19 | 57.78%   ±3.85% | 5.00       | 3.70%      
 Lang: go                           | 4.22            ±0.38 | 84.44%   ±7.70% | 5.00       | 3.70%      
 Lang: ruby                         | 2.19            ±0.42 | 43.89%   ±8.39% | 5.00       | 3.70%      
 Lang: kotlin                       | 1.25            ±0.04 | 24.90%   ±0.81% | 5.00       | 3.70%      
 Lang: swift                        | 1.83            ±0.17 | 36.69%   ±3.42% | 5.00       | 3.70%      
 Lang: vba                          | 1.30            ±0.15 | 26.05%   ±2.94% | 5.00       | 3.70%      
 Type: code completion              | 22.20           ±1.53 | 51.63%   ±3.55% | 43.00      | 31.85%     
 Type: knowledge question-answering | 18.75           ±0.68 | 46.87%   ±1.70% | 40.00      | 29.63%     
 Type: code debugging               | 13.98           ±0.51 | 42.37%   ±1.54% | 33.00      | 24.44%     
 Type: non-code debugging           | 7.78            ±0.50 | 40.96%   ±2.63% | 19.00      | 14.07%     
 Metric: keywords                   | 37.67           ±0.71 | 49.56%   ±0.93% | 76.00      | 56.30%     
 Metric: unit_test                  | 13.87           ±1.15 | 51.36%   ±4.28% | 27.00      | 20.00%     
 Metric: blank_filling              | 7.38            ±0.87 | 41.02%   ±4.81% | 18.00      | 13.33%     
 Metric: similarity                 | 4.63            ±0.15 | 25.72%   ±0.82% | 18.00      | 13.33%     
--------------------------------------------------------------------------------------------------------
