-------------------------------------------------------------------------------------------------
                                    | gpt-4         |                  | Full Score | Allocation 
------------------------------------|-------|-------|--------|---------|------------|------------
 Overall Score                      | 82.39   ±1.88 | 61.03%   ±1.39%  | 135.00     |            
 Lang: python                       | 14.50   ±0.87 | 60.42%   ±3.61%  | 24.00      | 17.78%     
 Lang: javascript                   | 17.17   ±0.64 | 78.03%   ±2.92%  | 22.00      | 16.30%     
 Lang: bash                         | 5.72    ±0.42 | 57.22%   ±4.19%  | 10.00      | 7.41%      
 Lang: java                         | 6.22    ±0.06 | 69.12%   ±0.64%  | 9.00       | 6.67%      
 Lang: dart                         | 3.43    ±0.58 | 38.15%   ±6.42%  | 9.00       | 6.67%      
 Lang: c#                           | 2.33    ±0.58 | 38.89%   ±9.62%  | 6.00       | 4.44%      
 Lang: css                          | 3.42    ±0.38 | 68.44%   ±7.70%  | 5.00       | 3.70%      
 Lang: html                         | 4.00    ±0.00 | 80.00%   ±0.00%  | 5.00       | 3.70%      
 Lang: r                            | 3.17    ±0.58 | 63.33%   ±11.55% | 5.00       | 3.70%      
 Lang: rust                         | 3.50    ±0.33 | 70.00%   ±6.67%  | 5.00       | 3.70%      
 Lang: c++/c                        | 3.33    ±0.76 | 66.67%   ±15.28% | 5.00       | 3.70%      
 Lang: php                          | 3.00    ±0.00 | 60.00%   ±0.00%  | 5.00       | 3.70%      
 Lang: go                           | 4.33    ±0.00 | 86.67%   ±0.00%  | 5.00       | 3.70%      
 Lang: ruby                         | 3.92    ±0.00 | 78.33%   ±0.00%  | 5.00       | 3.70%      
 Lang: kotlin                       | 1.50    ±0.00 | 30.00%   ±0.00%  | 5.00       | 3.70%      
 Lang: swift                        | 1.68    ±0.09 | 33.62%   ±1.89%  | 5.00       | 3.70%      
 Lang: vba                          | 1.16    ±0.04 | 23.23%   ±0.71%  | 5.00       | 3.70%      
 Type: code completion              | 30.17   ±1.00 | 70.16%   ±2.33%  | 43.00      | 31.85%     
 Type: knowledge question-answering | 21.46   ±0.81 | 53.64%   ±2.03%  | 40.00      | 29.63%     
 Type: code debugging               | 18.95   ±1.71 | 57.43%   ±5.17%  | 33.00      | 24.44%     
 Type: non-code debugging           | 11.82   ±0.76 | 62.19%   ±4.02%  | 19.00      | 14.07%     
 Metric: keywords                   | 48.48   ±2.64 | 63.79%   ±3.47%  | 76.00      | 56.30%     
 Metric: unit_test                  | 17.50   ±1.00 | 64.81%   ±3.70%  | 27.00      | 20.00%     
 Metric: blank_filling              | 11.35   ±0.12 | 63.06%   ±0.64%  | 18.00      | 13.33%     
 Metric: similarity                 | 5.90    ±0.07 | 32.76%   ±0.38%  | 18.00      | 13.33%     
-------------------------------------------------------------------------------------------------
